행정구역별,산업별,사업체구분별,2021,2021,2022,2022,2023,2023,2024,2024
행정구역별,산업별,사업체구분별,사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명)
,,단독사업체,4945,23312,4747,22426,4711,20928,4703,19067
,,"본사,본점 등",155,10320,152,13247,147,14381,158,18191
,,"공장,지사(점),영업소",424,9500,420,10632,405,10479,478,9441
,"공공행정, 국방 및 사회보장 행정(84)",계,468,34447,472,34571,511,36921,495,37580
,,단독사업체,438,32660,441,32737,479,35023,462,35762
,,"본사,본점 등",1,X,1,X,1,X,1,X
,,"공장,지사(점),영업소",29,1495,30,1516,31,1501,32,1453
,교육 서비스업(85),계,13107,81948,13461,83096,13920,82152,14319,82871
,,단독사업체,12480,61551,12804,62386,13258,61846,13657,62418
,,"본사,본점 등",125,2586,138,2088,140,1947,134,2127
,,"공장,지사(점),영업소",502,17811,519,18622,522,18359,528,18326
,보건업 및 사회복지 서비스업(86~87),계,7663,118579,7928,124130,8135,132104,8326,135545
,,단독사업체,6862,75877,7028,77889,7239,89069,7388,92537
,,"본사,본점 등",135,7763,171,9384,166,9458,180,9049
,,"공장,지사(점),영업소",666,34939,729,36857,730,33577,758,33959
,"예술, 스포츠 및 여가관련 서비스업(90~91)",계,6364,15432,6361,15637,6386,16255,6548,16377
,,단독사업체,6187,13519,6146,13463,6150,13585,6303,13726
,,"본사,본점 등",27,615,44,709,45,733,41,714
,,"공장,지사(점),영업소",150,1298,171,1465,191,1937,204,1937
,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",계,23627,41372,23949,41002,24959,41550,26072,42476
,,단독사업체,22882,36249,22941,35478,24057,36185,25144,37179
,,"본사,본점 등",87,1317,191,1328,131,1317,136,1364
,,"공장,지사(점),영업소",658,3806,817,4196,771,4048,792,3933
인  천,전체 산업,계,308892,1223448,317133,1250203,322297,1258759,328929,1271660
,,단독사업체,293426,923336,301078,944960,306906,950890,313031,949534
,,"본사,본점 등",3627,134863,4104,127798,3769,129224,3836,133329
,,"공장,지사(점),영업소",11839,165249,11951,177445,11622,178645,12062,188797
,"농업, 임업 및 어업(01~03)",계,132,648,129,616,122,488,123,442
,,단독사업체,114,398,114,435,103,305,107,277
,,"본사,본점 등",5,88,2,X,5,22,5,20
,,"공장,지사(점),영업소",13,162,13,172,14,161,11,145
,광업(05~08),계,35,510,35,431,36,437,33,397
,,단독사업체,23,273,23,218,24,271,22,225
,,"본사,본점 등",5,120,5,107,4,91,4,89
,,"공장,지사(점),영업소",7,117,7,106,8,75,7,83
,제조업(10~34),계,33574,250357,33961,252668,30869,246065,29156,242091
,,단독사업체,31650,171249,31825,172473,29069,165675,27322,160614
,,"본사,본점 등",991,53664,1078,52797,933,52876,913,53030
,,"공장,지사(점),영업소",933,25444,1058,27398,867,27514,921,28447
,"전기, 가스, 증기 및 공기조절 공급업(35)",계,442,4644,416,4486,539,4462,681,4544
,,단독사업체,396,888,372,901,496,1026,629,1078
,,"본사,본점 등",3,164,3,257,2,X,1,X
,,"공장,지사(점),영업소",43,3592,41,3328,41,3174,51,3279
,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,750,7859,807,7796,781,7695,767,7951
,,단독사업체,641,5424,699,5597,675,5489,666,5831
,,"본사,본점 등",47,1029,50,922,51,1013,48,904
,,"공장,지사(점),영업소",62,1406,58,1277,55,1193,53,1216
,건설업(41~42),계,24979,87370,25578,84237,25648,84452,26536,81837
,,단독사업체,24464,72127,25115,70853,25250,69876,26095,66862
,,"본사,본점 등",251,11507,221,7030,195,6961,222,7546
,,"공장,지사(점),영업소",264,3736,242,6354,203,7615,219,7429
,도매 및 소매업(45~47),계,78576,173100,80224,171500,84976,174170,89140,176309
,,단독사업체,74798,143279,76578,140933,81412,144515,85467,145348
,,"본사,본점 등",753,8809,727,8813,695,8865,741,9417
,,"공장,지사(점),영업소",3025,21012,2919,21754,2869,20790,2932,21544
,운수 및 창고업(49~52),계,38766,95243,41236,97207,42619,100101,41572,100309
,,단독사업체,37722,65437,40216,67890,41596,68835,40514,69385
,,"본사,본점 등",204,9277,204,8917,193,9546,199,10408
,,"공장,지사(점),영업소",840,20529,816,20400,830,21720,859,20516
,숙박 및 음식점업(55~56),계,41752,103117,42097,109781,41726,114430,41849,112402
,,단독사업체,40320,91053,40657,97055,40212,100525,40278,96995
,,"본사,본점 등",145,1540,147,1521,144,1456,160,2724
,,"공장,지사(점),영업소",1287,10524,1293,11205,1370,12449,1411,12683
,정보통신업(58~63),계,4194,14909,4704,16435,5169,15766,5689,16133
,,단독사업체,3979,10404,4416,11247,4947,11768,5476,11881
,,"본사,본점 등",88,2620,118,1695,76,1380,63,1102
,,"공장,지사(점),영업소",127,1885,170,3493,146,2618,150,3150
,금융 및 보험업(64~66),계,2365,22697,2329,22426,2350,22316,2459,24128
,,단독사업체,1130,3078,1103,2957,1168,3169,1232,3629
,,"본사,본점 등",123,2047,117,2030,112,2031,109,2048
,,"공장,지사(점),영업소",1112,17572,1109,17439,1070,17116,1118,18451
,부동산업(68),계,14678,32906,15081,32522,14760,32141,14172,32578
,,단독사업체,12953,24938,13279,24110,13054,23255,12435,21374
,,"본사,본점 등",254,1765,419,2187,366,2306,334,4108
